Book,Author,ISBN
The New York Stories of Elizabeth Hardwick,Elizabeth Hardwick,978-1590172872
The Uncollected Essays of Elizabeth Hardwick,Elizabeth; Andriesse Alex Hardwick,978-1681376233
Eustace and Hilda,L.P. Hartley,978-0940322806
The Go-Between,L.P. Hartley,978-0940322998
The Curious Lobster,Richard Warren; Wakeman Marion Freeman Hatch,978-1681372884
In Love,Alfred Hayes,978-1590176665
My Face for the World to See,Alfred Hayes,978-1590176672
The End of Me,Alfred; Bailey Paul Hayes,978-1681374338
The Crisis of the European Mind,Paul Hazard,978-1590176191
Telescope,Michael Heller,978-1681374062
The Farm in the Green Mountains,Alice Herdan-Zuckmayer,978-1681370743
Miguel Hernández,Miguel; Share Don; Hernández Miguel; Hernández Miguel Hernández,978-1590176290
Sand,Wolfgang Herrndorf,978-1681372013
Poets in a Landscape,Gilbert Highet,978-1590173381
Turtle Diary,Russell Hoban,978-1590176467
The Marzipan Pig,Russell; Blake Quentin Hoban,978-1590179994
The Sorely Trying Day,Russell; Hoban Lillian Hoban,978-1590173435
The Furies,Janet Hobhouse,978-1590170854
The Sound of the One Hand,Yoel Hoffman,978-1681370224
Our Philosopher,Gert; Hofmann Michael Hofmann,978-1681377582
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,978-1590170250
A High Wind in Jamaica,Richard Holmes,978-0940322158
In Hazard,Richard Holmes,978-1590172728
Shelley,Richard Holmes,978-1590170373
The Fox in the Attic,Richard Holmes,978-0940322295
The Wooden Shepherdess,Richard Holmes,978-0940322301
A Savage War of Peace,Alistair Horne,978-1590172186
Rogue Male,Geoffrey Household,978-1590172438
Richard Howard Loves Henry James and Other American Writers,Richard Howard,978-1681374512
Indian Summer,William Dean Howells,978-1590171097
Dancing Lessons for the Advanced in Age,Bohumil Hrabal,978-1590173770
The Little Town Where Time Stood Still,Bohumil Hrabal,978-1590178409
In a Lonely Place,Dorothy B. Hughes,978-1681371474
The Expendable Man,Dorothy B. Hughes,978-1590174951
Basti,Intizar Husain,978-1590175828
